Date,Open,High,Low,Close,Adj Close,Volume
2022-07-21,298.000000,303.799988,298.000000,299.399994,290.506165,52298
2022-07-22,303.450012,303.450012,295.700012,296.850006,288.031952,52696
2022-07-25,300.000000,301.799988,290.000000,294.750000,285.994293,81506
2022-07-26,295.250000,297.750000,280.399994,288.350006,279.784424,63571
2022-07-27,290.649994,300.149994,288.000000,290.500000,281.870575,75381
2022-07-28,292.950012,296.000000,290.100006,295.399994,286.625000,59273
2022-07-29,298.500000,304.000000,297.000000,301.850006,292.883423,149605
2022-08-01,303.799988,314.049988,303.799988,311.500000,302.246735,167969
2022-08-02,314.000000,314.000000,308.649994,310.250000,301.033875,112922
2022-08-03,307.500000,307.899994,299.850006,304.899994,295.842804,189913
2022-08-04,306.899994,308.000000,300.000000,300.899994,291.961639,91592
2022-08-05,303.899994,304.000000,298.250000,301.049988,292.107178,61999
2022-08-08,300.000000,302.950012,299.350006,301.649994,292.689331,58572
2022-08-10,304.750000,304.750000,300.250000,300.899994,291.961639,73212
2022-08-11,322.000000,322.000000,285.299988,297.000000,289.911774,179857
2022-08-12,297.950012,303.799988,297.049988,298.600006,291.473572,109919
2022-08-16,300.000000,300.700012,298.000000,299.549988,292.400879,81878
2022-08-17,299.549988,302.899994,299.549988,300.700012,293.523468,89268
2022-08-18,300.000000,303.000000,296.500000,301.500000,294.304352,148674
2022-08-19,304.350006,304.350006,299.000000,299.200012,292.059265,67031
2022-08-22,299.000000,299.200012,293.000000,294.149994,287.129730,73297
2022-08-23,290.149994,298.000000,290.149994,296.850006,289.765320,70563
2022-08-24,296.850006,303.500000,295.899994,299.299988,292.156830,73393
2022-08-25,300.799988,302.600006,284.950012,296.149994,289.082001,107761
2022-08-26,298.899994,306.350006,295.100006,301.100006,293.913879,141868
2022-08-29,292.700012,299.500000,292.000000,297.450012,290.351044,74285
2022-08-30,299.799988,303.350006,299.049988,302.100006,294.890015,130204
2022-09-01,302.100006,306.000000,299.000000,299.750000,292.596100,103040
2022-09-02,299.750000,302.100006,293.250000,294.950012,287.910675,169073
